ticker,exchange,alias,asset_type,currency
0001A0,KQ,덕양에너젠,Stock,KRW
000250,KQ,삼천당제약,Stock,KRW
000440,KQ,중앙에너비스,Stock,KRW
0004V0,KQ,엔비알모션,Stock,KRW
0004Y0,KQ,디비금융제14호스팩,Stock,KRW
0007C0,KQ,아크릴,Stock,KRW
0007J0,KQ,인벤테라,Stock,KRW
0008Z0,KQ,에스엔시스,Stock,KRW
0009K0,KQ,에임드바이오,Stock,KRW
001000,KQ,신라섬유,Stock,KRW
0010F0,KQ,보원케미칼,Stock,KRW
0010V0,KQ,제이피아이헬스케어,Stock,KRW
0011A0,KQ,액스비스,Stock,KRW
0011T0,KQ,채비,Stock,KRW
0013V0,KQ,삼진식품,Stock,KRW
001540,KQ,안국약품,Stock,KRW
0015G0,KQ,그린광학,Stock,KRW
0015N0,KQ,아로마티카,Stock,KRW
0015S0,KQ,페스카로,Stock,KRW
001810,KQ,무림SP,Stock,KRW
001840,KQ,이화공영,Stock,KRW
002230,KQ,피에스텍,Stock,KRW
002290,KQ,삼일기업공사,Stock,KRW
002680,KQ,한탑,Stock,KRW
002800,KQ,신신제약,Stock,KRW
003100,KQ,선광,Stock,KRW
003310,KQ,대주산업,Stock,KRW
003380,KQ,하림지주,Stock,KRW
0037T0,KQ,KB제32호스팩,Stock,KRW
003800,KQ,에이스침대,Stock,KRW
0041B0,KQ,교보18호스팩,Stock,KRW
0041J0,KQ,엘에스스팩1호,Stock,KRW
0041L0,KQ,하나35호스팩,Stock,KRW
0044K0,KQ,삼성스팩10호,Stock,KRW
004590,KQ,한국가구,Stock,KRW
004650,KQ,창해에탄올,Stock,KRW
004780,KQ,대륙제관,Stock,KRW
005160,KQ,동국산업,Stock,KRW
005290,KQ,동진쎄미켐,Stock,KRW
0054V0,KQ,엔에이치스팩32호,Stock,KRW
005670,KQ,푸드웰,Stock,KRW
005710,KQ,대원산업,Stock,KRW
005860,KQ,한일사료,Stock,KRW
005990,KQ,매일홀딩스,Stock,KRW
006050,KQ,국영지앤엠,Stock,KRW
006140,KQ,피제이전자,Stock,KRW
006620,KQ,동구바이오제약,Stock,KRW
006730,KQ,서부T&D,Stock,KRW
0068Y0,KQ,비엔케이제3호스팩,Stock,KRW
006910,KQ,보성파워텍,Stock,KRW
006920,KQ,모헨즈,Stock,KRW
0071M0,KQ,삼성스팩11호,Stock,KRW
0072Z0,KQ,KB제33호스팩,Stock,KRW
007330,KQ,푸른저축은행,Stock,KRW
007370,KQ,진양제약,Stock,KRW
007390,KQ,네이처셀,Stock,KRW
007530,KQ,와이엠,Stock,KRW
007680,KQ,대원,Stock,KRW
007720,KQ,소노스퀘어,Stock,KRW
007770,KQ,한일화학,Stock,KRW
007820,KQ,엠엑스로보틱스,Stock,KRW
008290,KQ,원풍물산,Stock,KRW
0082N0,KQ,카나프테라퓨틱스,Stock,KRW
008370,KQ,원풍,Stock,KRW
008470,KQ,부스타,Stock,KRW
008830,KQ,대동기어,Stock,KRW
0088D0,KQ,메리츠제1호스팩,Stock,KRW
0088M0,KQ,메쥬,Stock,KRW
0091W0,KQ,신영스팩11호,Stock,KRW
009300,KQ,삼아제약,Stock,KRW
0093G0,KQ,미래에셋비전스팩8호,Stock,KRW
009520,KQ,포스코엠텍,Stock,KRW
009620,KQ,삼보산업,Stock,KRW
0096B0,KQ,삼성스팩12호,Stock,KRW
0096D0,KQ,미래에셋비전스팩9호,Stock,KRW
009730,KQ,이렘,Stock,KRW
009780,KQ,엠에스씨,Stock,KRW
0097F0,KQ,미래에셋비전스팩10호,Stock,KRW
0098T0,KQ,교보19호스팩,Stock,KRW
0099W0,KQ,미래에셋비전스팩11호,Stock,KRW
0099X0,KQ,IBKS제25호스팩,Stock,KRW
010170,KQ,대한광통신,Stock,KRW
0101C0,KQ,하나36호스팩,Stock,KRW
010240,KQ,흥국,Stock,KRW
010280,KQ,아이티센엔텍,Stock,KRW
010470,KQ,오리콤,Stock,KRW
0105P0,KQ,유진스팩12호,Stock,KRW
011040,KQ,경동제약,Stock,KRW
011080,KQ,형지I&C,Stock,KRW
011320,KQ,유니크,Stock,KRW
011370,KQ,서한,Stock,KRW
011560,KQ,세보엠이씨,Stock,KRW
0115H0,KQ,삼성스팩13호,Stock,KRW
012210,KQ,삼미금속,Stock,KRW
012340,KQ,뉴인텍,Stock,KRW
012620,KQ,원일특강,Stock,KRW
012700,KQ,리드코프,Stock,KRW
012790,KQ,신일제약,Stock,KRW
012860,KQ,모베이스전자,Stock,KRW
0129K0,KQ,신한제18호스팩,Stock,KRW
013030,KQ,하이록코리아,Stock,KRW
0130D0,KQ,신한제17호스팩,Stock,KRW
0130H0,KQ,엔에이치스팩33호,Stock,KRW
013120,KQ,동원개발,Stock,KRW
0131D0,KQ,키움히어로제2호스팩,Stock,KRW
0132G0,KQ,교보20호스팩,Stock,KRW
013310,KQ,아진산업,Stock,KRW
013720,KQ,THE CUBE&,Stock,KRW
013810,KQ,스페코,Stock,KRW
013990,KQ,아가방컴퍼니,Stock,KRW
014100,KQ,메디앙스,Stock,KRW
014190,KQ,원익큐브,Stock,KRW
014470,KQ,부방,Stock,KRW
014570,KQ,고려제약,Stock,KRW
014620,KQ,성광벤드,Stock,KRW
