ticker,exchange,alias,asset_type,currency
000020,KS,동화약품,Stock,KRW
000040,KS,KR모터스,Stock,KRW
000050,KS,경방,Stock,KRW
000070,KS,삼양홀딩스,Stock,KRW
000080,KS,하이트진로,Stock,KRW
000087,KS,하이트진로2우B,Stock,KRW
0000D0,KS,TIGER 엔비디아미국채커버드콜밸런스(합성),ETF,KRW
0000H0,KS,KODEX 인도Nifty미드캡100,ETF,KRW
0000J0,KS,PLUS 한화그룹주,ETF,KRW
0000Y0,KS,HK 26-12 회사채(AA-이상)액티브,ETF,KRW
0000Z0,KS,RISE 바이오TOP10액티브,ETF,KRW
000100,KS,유한양행,Stock,KRW
000105,KS,유한양행우,Stock,KRW
000120,KS,CJ대한통운,Stock,KRW
000140,KS,하이트진로홀딩스,Stock,KRW
000145,KS,하이트진로홀딩스우,Stock,KRW
000150,KS,두산,Stock,KRW
000155,KS,두산우,Stock,KRW
000157,KS,두산2우B,Stock,KRW
000180,KS,성창기업지주,Stock,KRW
0001P0,KS,마이티 바이오시밀러&CDMO액티브,ETF,KRW
000210,KS,DL,Stock,KRW
000215,KS,DL우,Stock,KRW
000220,KS,유유제약,Stock,KRW
000225,KS,유유제약1우,Stock,KRW
000227,KS,유유제약2우B,Stock,KRW
000230,KS,일동홀딩스,Stock,KRW
000240,KS,한국앤컴퍼니,Stock,KRW
000270,KS,기아,Stock,KRW
0002C0,KS,에셋플러스 인도일등기업포커스20액티브,ETF,KRW
000300,KS,DH오토넥스,Stock,KRW
000320,KS,노루홀딩스,Stock,KRW
000325,KS,노루홀딩스우,Stock,KRW
000370,KS,한화손해보험,Stock,KRW
000390,KS,SP삼화,Stock,KRW
000400,KS,롯데손해보험,Stock,KRW
000430,KS,대원강업,Stock,KRW
000480,KS,CR홀딩스,Stock,KRW
000490,KS,대동,Stock,KRW
0004G0,KS,1Q 미국배당TOP30,ETF,KRW
000500,KS,가온전선,Stock,KRW
000520,KS,삼일제약,Stock,KRW
000540,KS,흥국화재,Stock,KRW
000545,KS,흥국화재우,Stock,KRW
000590,KS,CS홀딩스,Stock,KRW
0005A0,KS,KODEX 미국S&P500데일리커버드콜OTM,ETF,KRW
0005C0,KS,RISE 미국S&P500엔화노출(합성 H),ETF,KRW
0005D0,KS,SOL 전고체배터리&실리콘음극재,ETF,KRW
0005G0,KS,IBK K-AI반도체코어테크,ETF,KRW
000640,KS,동아쏘시오홀딩스,Stock,KRW
000650,KS,천일고속,Stock,KRW
000660,KS,SK하이닉스,Stock,KRW
000670,KS,영풍,Stock,KRW
000680,KS,LS네트웍스,Stock,KRW
000700,KS,유수홀딩스,Stock,KRW
000720,KS,현대건설,Stock,KRW
000725,KS,현대건설우,Stock,KRW
000760,KS,이화산업,Stock,KRW
0007F0,KS,KODEX 27-12 회사채(AA-이상)액티브,ETF,KRW
0007G0,KS,PLUS 글로벌원자력밸류체인,ETF,KRW
0007N0,KS,아이엠에셋 200,ETF,KRW
000810,KS,삼성화재,Stock,KRW
000815,KS,삼성화재우,Stock,KRW
000850,KS,화천기공,Stock,KRW
000860,KS,강남제비스코,Stock,KRW
000880,KS,한화,Stock,KRW
00088K,KS,한화3우B,Stock,KRW
000890,KS,보해양조,Stock,KRW
0008E0,KS,ACE 미국중심중소형제조업,ETF,KRW
0008S0,KS,TIGER 미국배당다우존스타겟데일리커버드콜,ETF,KRW
0008T0,KS,SOL 화장품TOP3플러스,ETF,KRW
000910,KS,유니온,Stock,KRW
000950,KS,전방,Stock,KRW
000970,KS,한국주철관,Stock,KRW
000990,KS,DB하이텍,Stock,KRW
001020,KS,페이퍼코리아,Stock,KRW
001040,KS,CJ,Stock,KRW
001045,KS,CJ우,Stock,KRW
00104K,KS,CJ4우(전환),Stock,KRW
001060,KS,JW중외제약,Stock,KRW
