ticker,exchange,alias,asset_type,currency
A,NYS,애질런트 테크놀로지스,Stock,USD
AA,NYS,알코아,Stock,USD
AAMI,NYS,아카디언 에셋 매니지먼트,Stock,USD
AAP,NYS,어드밴스 오토 파츠,Stock,USD
AAT,NYS,아메리칸 에세츠 트러스트,Stock,USD
AAUC,NYS,얼라이드 골드,Stock,USD
AB,NYS,얼라이언스번스틴 홀딩,Stock,USD
ABBV,NYS,애브비,Stock,USD
ABCB,NYS,아메리스 뱅코프,Stock,USD
ABEV,NYS,암베브(ADR),Stock,USD
ABG,NYS,애즈버리 오토모티브 그룹,Stock,USD
ABM,NYS,ABM 인더스트리스,Stock,USD
ABR,NYS,아버 리얼티 트러스트,Stock,USD
ABR/D,NYS,아버 리얼티 트러스트 우선주 D(6.375% 누적 상환),Stock,USD
ABR/E,NYS,아버 리얼티 트러스트 우선주 E(상환),Stock,USD
ABR/F,NYS,아버 리얼티 트러스트 우선주 F(6.250% 누적),Stock,USD
ABT,NYS,애보트 래브러토리스,Stock,USD
ABX,NYS,아바커스 글로벌 매니지먼트,Stock,USD
ABXL,NYS,ABACUS 선순위채(2028-11-15 9.875%),Stock,USD
ACA,NYS,아코사,Stock,USD
ACCO,NYS,애코 브랜즈,Stock,USD
ACEL,NYS,악셀 엔터테인먼트,Stock,USD
ACH,NYS,액센드라 헬스,Stock,USD
ACHR,NYS,아처 에비에이션,Stock,USD
ACI,NYS,앨버트슨 컴퍼니스,Stock,USD
ACLO,NYS,TCW AAA CLO,ETF,USD
ACM,NYS,애이콤 테크놀로지,Stock,USD
ACN,NYS,액센추어,Stock,USD
ACP,NYS,ABERDEEN INCOME CREDIT STRATEGIES,ETF,USD
ACP/A,NYS,ABERDEEN INCOME CREDIT STRATEGIES FUND PREFERRED A(5.250%),Stock,USD
ACR,NYS,에이커스 커머셜 리얼티,Stock,USD
ACR/C,NYS,에이커스 커머셜 리얼티 우선주 C(8.625% 누적 상환),Stock,USD
ACR/D,NYS,에이커스 커머셜 리얼티 우선주 D(7.875% 누적 상환),Stock,USD
ACRE,NYS,아레스 커머셜 리얼 에스테이트,Stock,USD
ACV,NYS,VIRTUS DIVERSIFIED INCOME & CONVERTIBLE,ETF,USD
ACVA,NYS,ACV 옥션스,Stock,USD
AD,NYS,어레이 디지털 인프라스트럭처,Stock,USD
ADC,NYS,어그리 리얼티,Stock,USD
ADC/A,NYS,어그리 리얼티 우선주 A(4.250% 누적),Stock,USD
ADCT,NYS,ADC 테라퓨틱스,Stock,USD
ADM,NYS,아처 대니얼스 미들랜드,Stock,USD
ADNT,NYS,애디언트,Stock,USD
ADT,NYS,ADT,Stock,USD
ADX,NYS,ADAMS DIVERSIFIED EQUITY,ETF,USD
AEE,NYS,애머런,Stock,USD
AEFC,NYS,아혼 펀딩 후순위채권(2049-12-15 5.100%),Stock,USD
AEG,NYS,아혼(ADR),Stock,USD
AEM,NYS,애그니코 이글 마인스,Stock,USD
AEO,NYS,아메리칸 이글,Stock,USD
AER,NYS,에어캡 홀딩스,Stock,USD
AERO,NYS,그루포 아에로멕시코 스폰서드 ADS,Stock,USD
AES,NYS,AES,Stock,USD
AESI,NYS,아틀라스 에너지 솔루션스,Stock,USD
AEXA,NYS,아메리칸 익셉셔널리즘 애퀴지션 A,Stock,USD
AFB,NYS,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME,ETF,USD
AFG,NYS,아메리칸 파이낸셜 그룹,Stock,USD
AFGB,NYS,아메리칸 파이낸셜 그룹 후순위채권(2059-03-30 5.875%),Stock,USD
AFGC,NYS,아메리칸 파이낸셜 그룹 후순위채권(2059-12-15 5.125%),Stock,USD
AFGD,NYS,아메리칸 파이낸셜 그룹 후순위채권(2060-01-01 5.625%),Stock,USD
AFGE,NYS,아메리칸 파이낸셜 그룹 후순위채권(2060-09-15 4.500%),Stock,USD
AFL,NYS,애플랙,Stock,USD
AG,NYS,퍼스트 머제스틱 실버,Stock,USD
AGBK,NYS,에이지아이,Stock,USD
AGCO,NYS,애그코,Stock,USD
AGD,NYS,ABERDEEN GLOBAL DYNAMIC DIVIDEND,ETF,USD
AGI,NYS,알라모스 골드,Stock,USD
AGL,NYS,애질론 헬스,Stock,USD
AGM,NYS,페더럴 애그리컬처럴 모기지,Stock,USD
AGM/A,NYS,페더럴 애그리컬처럴 모기지 A,Stock,USD
AGM/D,NYS,페더럴 애그리컬처럴 모기지 우선주 D(5.700%),Stock,USD
AGM/E,NYS,페더럴 애그리컬처럴 모기지 우선주 E(5.700%),Stock,USD
AGM/F,NYS,페더럴 애그리컬처럴 모기지 우선주 F(5.250%),Stock,USD
AGM/G,NYS,페더럴 애그리컬처럴 모기지 우선주 G(4.875%),Stock,USD
AGM/H,NYS,FEDERAL AGRICULTURAL MORTGAGE CORP NON-CUMULATIVE PFD SER H,Stock,USD
AGO,NYS,어슈어드 개런티,Stock,USD
AGRO,NYS,아데코아그로,Stock,USD
AGX,NYS,아간,Stock,USD
AHL/D,NYS,아스펀 인슈어런스 홀딩스 우선주 D(5.625%),Stock,USD
AHL/E,NYS,아스펀 인슈어런스 홀딩스 우선주 E(5.625%),Stock,USD
AHL/F,NYS,애스펀 인슈어런스 홀딩스 우선주 F(7.000%),Stock,USD
AHR,NYS,아메리칸 헬스케어 리츠,Stock,USD
AHRT,NYS,AH 리얼티 트러스트,Stock,USD
AHRT/A,NYS,AH 리얼티 트러스트 6.75% 누적 상환 영구 우선주 A,Stock,USD
AHT,NYS,애시포드 호스피털리티 트러스트,Stock,USD
AHT/D,NYS,애시포드 호스피털리티 트러스트 우선주 D(8.450% 누적),Stock,USD
AHT/F,NYS,애시포드 호스피털리티 트러스트 우선주 F(7.375% 누적),Stock,USD
AHT/G,NYS,애시포드 호스피털리티 트러스트 우선주 G(누적),Stock,USD
AHT/H,NYS,애시포드 호스피털리티 트러스트 우선주 H(7.500% 누적),Stock,USD
AHT/I,NYS,애시포드 호스피털리티 트러스트 우선주 I(7.500% 누적),Stock,USD
AI,NYS,C3 AI,Stock,USD
AIG,NYS,아메리칸 인터내셔널 그룹,Stock,USD
AII,NYS,아메리칸 인테그리티 인슈어런스 그룹,Stock,USD
AIIA,NYS,AI 인프라스트럭처 애퀴지션,Stock,USD
AIIA/UN,NYS,AI 인프라스트럭처 애퀴지션 유닛,Stock,USD
AIN,NYS,앨버니 인터내셔널,Stock,USD
AIO,NYS,VIRTUS ARTIFICIAL INTELLIGENCE & TECHNOLOGY OPPORTUNITIES,ETF,USD
AIR,NYS,AAR,Stock,USD
AIT,NYS,어플라이드 인더스트리얼 테크놀로지,Stock,USD
AIV,NYS,어파트먼트 인베스트먼트 앤드 매니지먼트,Stock,USD
AIZ,NYS,어슈런트,Stock,USD
AIZN,NYS,어슈런트 후순위채권(2061-01-15 5.250%),Stock,USD
AJG,NYS,아서 갤러거 앤드 컴퍼니,Stock,USD
AKA,NYS,AKA 브랜즈 홀딩,Stock,USD
AKAF,NYS,THE ALASKA LAST FRONTIER,ETF,USD
AKO/A,NYS,엠보테야도라 안디나 A(ADR),Stock,USD
AKO/B,NYS,엠보테야도라 안디나 B(ADR),Stock,USD
AKR,NYS,아카디아 리얼티 트러스트,Stock,USD
AL,NYS,에어 리스,Stock,USD
ALB,NYS,알버말,Stock,USD
ALB/A,NYS,알버말 우선주 A(7.250%),Stock,USD
ALC,NYS,알콘,Stock,USD
ALG,NYS,알라모 그룹,Stock,USD
ALH,NYS,얼라이언스 런드리 홀딩스,Stock,USD
ALIT,NYS,올라잇,Stock,USD
ALK,NYS,알래스카 에어 그룹,Stock,USD
ALL,NYS,올스테이트,Stock,USD
ALL/B,NYS,올스테이트 우선주(5.100%),Stock,USD
ALL/H,NYS,올스테이트 우선주 H(5.100% 상환),Stock,USD
ALL/I,NYS,올스테이트 우선주 I(4.750% 상환),Stock,USD
ALL/J,NYS,올스테이트 우선주 J,Stock,USD
ALLE,NYS,얼리지언,Stock,USD
ALLY,NYS,앨라이 파이낸셜,Stock,USD
ALSN,NYS,앨리슨 트랜스미션 홀딩스,Stock,USD
ALTG,NYS,알타 이큅먼트 그룹,Stock,USD
ALTG/A,NYS,알타 이큅먼트 그룹 우선주 A(10.000% 누적),Stock,USD
ALUB,NYS,알루사 에너지 애퀴지션 II,Stock,USD
ALUB/UN,NYS,알루사 에너지 인수 II 유닛,Stock,USD
ALV,NYS,오토리브,Stock,USD
ALX,NYS,알렉산더스,Stock,USD
AM,NYS,앤테로 미드스트림,Stock,USD
AMBP,NYS,아르다 메탈 패키징,Stock,USD
AMBQ,NYS,앰비크 마이크로,Stock,USD
AMC,NYS,AMC 엔터테인먼트 홀딩스,Stock,USD
AMCR,NYS,앰코,Stock,USD
AME,NYS,아메텍,Stock,USD
AMG,NYS,어필리에이티드 매니저스 그룹,Stock,USD
AMH,NYS,아메리칸 홈스 포 렌트 A,Stock,USD
AMH/G,NYS,아메리칸 홈스 포 렌트 우선주 G(5.875% 누적 상환),Stock,USD
AMH/H,NYS,아메리칸 홈스 포 렌트 우선주 H(6.250% 누적 상환),Stock,USD
AMN,NYS,AMN 헬스케어 서비시스,Stock,USD
AMP,NYS,어메리프라이즈 파이낸셜,Stock,USD
AMPX,NYS,앰프리어스 테크놀로지스,Stock,USD
AMPY,NYS,앰플리파이 에너지,Stock,USD
AMR,NYS,알파 메탈러지컬 리소시스,Stock,USD
AMRC,NYS,아메리스코,Stock,USD
AMRZ,NYS,앰라이즈,Stock,USD
AMT,NYS,아메리칸 타워,Stock,USD
AMTB,NYS,아머란트 뱅코프,Stock,USD
AMTD,NYS,AMTD 아이디어 그룹(ADR),Stock,USD
AMTM,NYS,어멘텀 홀딩스,Stock,USD
AMWL,NYS,아메리칸 웰,Stock,USD
AMX,NYS,아메리카 모빌 L(ADR),Stock,USD
AN,NYS,오토네이션,Stock,USD
ANDG,NYS,ANDERSEN GROUP INC,Stock,USD
ANET,NYS,아리스타 네트웍스,Stock,USD
ANF,NYS,애버크롬비 앤드 피치,Stock,USD
ANG/D,NYS,아메리칸 내셔널 그룹 우선주 D(7.375%),Stock,USD
ANGX,NYS,엔젤 스튜디오스,Stock,USD
ANRO,NYS,앨토 뉴로사이언스,Stock,USD
ANVS,NYS,애노비스 바이오,Stock,USD
AOD,NYS,ABERDEEN TOTAL DYNAMIC DIVIDEND,ETF,USD
AOMD,NYS,엔젤 오크 모기지 리츠 일반채권(2030-06-01 9.750%),Stock,USD
AOMN,NYS,엔젤 오크 모기지 리츠 일반채권(2029-07-30 9.500%),Stock,USD
AOMR,NYS,엔젤 오크 모기지 리츠,Stock,USD
AON,NYS,에이온,Stock,USD
AORT,NYS,아티비언,Stock,USD
AOS,NYS,A O 스미스,Stock,USD
AP,NYS,앰프코 피츠버그,Stock,USD
APAM,NYS,아티잔 파트너스 에셋 매니지먼트,Stock,USD
APD,NYS,에어 프라덕츠 앤드 케미컬스,Stock,USD
APG,NYS,API 그룹,Stock,USD
APH,NYS,암페놀,Stock,USD
APLE,NYS,애플 호스피털리티 리츠,Stock,USD
APO,NYS,아폴로 글로벌 매니지먼트,Stock,USD
APO/A,NYS,아폴로 글로벌 매니지먼트 우선주 A(6.750% 전환),Stock,USD
